"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16004_001E","Estimate!!Total:"
"B16004_001M","Margin of Error!!Total:"
"B16004_002E","Estimate!!Total:!!5 to 17 years:"
"B16004_002M","Margin of Error!!Total:!!5 to 17 years:"
"B16004_003E","Estimate!!Total:!!5 to 17 years:!!Speak only English"
"B16004_003M","Margin of Error!!Total:!!5 to 17 years:!!Speak only English"
"B16004_004E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:"
"B16004_004M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:"
"B16004_005E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well""
"B16004_005M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "very well""
"B16004_006E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "well""
"B16004_006M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "well""
"B16004_007E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "not well""
"B16004_007M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "not well""
"B16004_008E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "not at all""
"B16004_008M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English "not at all""
"B16004_009E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:"
"B16004_009M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:"
"B16004_010E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "very well""
"B16004_010M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "very well""
"B16004_011E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "well""
"B16004_011M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "well""
"B16004_012E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "not well""
"B16004_012M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "not well""
"B16004_013E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "not at all""
"B16004_013M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English "not at all""
"B16004_014E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:"
"B16004_014M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:"
"B16004_015E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "very well""
"B16004_015M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "very well""
"B16004_016E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "well""
"B16004_016M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "well""
"B16004_017E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "not well""
"B16004_017M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "not well""
"B16004_018E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "not at all""
"B16004_018M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English "not at all""
"B16004_019E","Estimate!!Total:!!5 to 17 years:!!Speak other languages:"
"B16004_019M","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:"
"B16004_020E","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "very well""
"B16004_020M","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "very well""
"B16004_021E","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "well""
"B16004_021M","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "well""
"B16004_022E","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "not well""
"B16004_022M","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English "not well""
